"Time, Eastern Daylight Time",Temp,Dew,RH
2017-01-01 00:00:00,3.840000000000001,1.9508333333333336,87.45
2017-01-01 01:00:00,3.2875,1.5441666666666667,88.32
2017-01-01 02:00:00,2.9391666666666665,1.3683333333333332,89.4
2017-01-01 03:00:00,2.7608333333333337,1.285,89.99
2017-01-01 04:00:00,2.795833333333334,1.2766666666666666,89.71
2017-01-01 05:00:00,2.805833333333334,1.1791666666666665,89.02
2017-01-01 06:00:00,2.6683333333333334,0.9349999999999999,88.33
2017-01-01 07:00:00,2.8608333333333333,0.7008333333333333,85.69
2017-01-01 08:00:00,3.8683333333333327,0.7075,79.85
2017-01-01 09:00:00,5.295,-0.5449999999999999,66.09
2017-01-01 10:00:00,6.2475,-1.2899999999999998,58.49
2017-01-01 11:00:00,6.73,-2.1,53.28
2017-01-01 12:00:00,6.853333333333334,-3.4133333333333327,47.94
2017-01-01 13:00:00,6.9816666666666665,-4.144166666666667,44.96
2017-01-01 14:00:00,6.6225,-4.350833333333333,45.36
2017-01-01 15:00:00,5.878333333333333,-4.785,46.22
2017-01-01 16:00:00,4.7,-5.371666666666667,47.98
2017-01-01 17:00:00,3.9350000000000005,-5.408333333333332,50.5
2017-01-01 18:00:00,3.204166666666667,-5.483333333333333,52.87
2017-01-01 19:00:00,2.5583333333333336,-5.4575,55.47
2017-01-01 20:00:00,1.901666666666667,-5.484999999999999,58.0
2017-01-01 21:00:00,1.4558333333333333,-5.25,60.97
2017-01-01 22:00:00,0.8233333333333334,-5.0,65.04
2017-01-01 23:00:00,0.3133333333333333,-4.847499999999999,68.26
2017-01-02 00:00:00,-0.29500000000000004,-4.7700000000000005,71.76
2017-01-02 01:00:00,-0.5416666666666666,-4.690833333333333,73.5
2017-01-02 02:00:00,-0.7025,-4.549166666666667,75.18
2017-01-02 03:00:00,-1.265,-4.708333333333332,77.43
2017-01-02 04:00:00,-1.545,-4.661666666666667,79.29
2017-01-02 05:00:00,-1.805,-4.696666666666666,80.62
2017-01-02 06:00:00,-1.7908333333333333,-4.389166666666667,82.42
2017-01-02 07:00:00,-1.6758333333333333,-4.246666666666667,82.62
2017-01-02 08:00:00,-0.6975000000000001,-3.7775,79.68
2017-01-02 09:00:00,0.4991666666666667,-3.185,76.31
2017-01-02 10:00:00,2.5875000000000004,-2.4916666666666667,69.17
2017-01-02 11:00:00,3.636666666666667,-1.9258333333333335,66.98
2017-01-02 12:00:00,4.78,-1.6133333333333333,63.22
2017-01-02 13:00:00,4.950833333333333,-1.755,61.82
2017-01-02 14:00:00,5.100833333333334,-1.3925,62.83
2017-01-02 15:00:00,4.8125,-1.1558333333333333,65.24
2017-01-02 16:00:00,4.758333333333334,-0.53,68.56
2017-01-02 17:00:00,4.971666666666667,0.21666666666666665,71.3
2017-01-02 18:00:00,5.027499999999999,0.5583333333333333,72.8
2017-01-02 19:00:00,5.003333333333333,0.5000000000000001,72.61
2017-01-02 20:00:00,4.993333333333332,0.7191666666666667,73.82
2017-01-02 21:00:00,5.1033333333333335,1.0899999999999999,75.26
2017-01-02 22:00:00,5.173333333333333,1.5083333333333335,77.17
2017-01-02 23:00:00,5.264166666666666,1.6683333333333332,77.58
2017-01-03 00:00:00,5.3425,1.878333333333333,78.33
2017-01-03 01:00:00,5.378333333333333,2.2658333333333336,80.32
2017-01-03 02:00:00,5.414999999999999,2.504166666666667,81.48
2017-01-03 03:00:00,5.361666666666667,2.716666666666667,83.03
2017-01-03 04:00:00,5.075,3.2324999999999995,87.84
2017-01-03 05:00:00,5.293333333333334,3.444999999999999,87.84
2017-01-03 06:00:00,5.7,3.3475,84.82
2017-01-03 07:00:00,5.845833333333332,3.1383333333333336,82.72
2017-01-03 08:00:00,5.599166666666666,3.2258333333333336,84.68
2017-01-03 09:00:00,4.575833333333334,3.438333333333334,92.32
2017-01-03 10:00:00,4.4624999999999995,3.8216666666666668,95.58
2017-01-03 11:00:00,4.609166666666667,4.128333333333334,96.67
2017-01-03 12:00:00,4.885000000000001,4.470833333333333,97.13
2017-01-03 13:00:00,5.093333333333334,4.739999999999999,97.54
2017-01-03 14:00:00,5.326666666666666,5.010833333333333,97.8
2017-01-03 15:00:00,5.445833333333334,5.1625000000000005,98.02
2017-01-03 16:00:00,5.631666666666667,5.374166666666667,98.22
